"New York, NY",8398748
"Los Angeles, CA",3990456
"Chicago, IL",2705994
"Houston, TX",2325502
"Phoenix, AZ",1660272
"Philadelphia, PA",1584138
"San Antonio, TX",1532233
"San Diego, CA",1425976
"Dallas, TX",1345047
"San Jose, CA",1030119
"Austin, TX",964254
"Jacksonville, FL",903889
"Fort Worth, TX",895008
"Columbus, OH",892533
"San Francisco, CA",883305
"Charlotte, NC",872498
"Indianapolis, IN",867125
"Seattle, WA",744955
"Denver, CO",716492
"Washington, DC",702455
"Boston, MA",694583
"El Paso, TX",682669
"Detroit, MI",672662
"Nashville, TN",669053
"Portland, OR",653115
